node_id	patch_id	donor_id	region	section_id	x	y	n_cells	mean_n_transcripts	mapped_confidence_mean	dominant_mapped_cell_type	dominant_mapped_cell_type_fraction	celltype_fraction__unknown	embed_1	embed_2
H19.33.004__1417642343__5_9	H19.33.004__1417642343__5_9	H19.33.004	CN	1417642343	822.5851361674647	1475.5959354523688	31	506.80645161290323		unknown	1.0	1.0	-2.173548850307312	-1.1051496080496617
H19.33.004__1417642343__5_13	H19.33.004__1417642343__5_13	H19.33.004	CN	1417642343	880.7187848772321	2044.2845284598213	7	225.42857142857142		unknown	1.0	1.0	-1.8354916811828845	-0.08630960939167351
H19.33.004__1417642343__8_14	H19.33.004__1417642343__8_14	H19.33.004	CN	1417642343	1273.772177956321	2187.886863014915	22	258.8181818181818		unknown	1.0	1.0	0.3973848723767621	0.462634152274502
H19.33.004__1417642343__8_11	H19.33.004__1417642343__8_11	H19.33.004	CN	1417642343	1275.5375104631696	1733.9260428292412	14	339.7857142857143		unknown	1.0	1.0	0.05752789128162608	-0.8255238765761955
H19.33.004__1417642343__8_13	H19.33.004__1417642343__8_13	H19.33.004	CN	1417642343	1270.2064086914063	2023.3320922851562	20	381.5		unknown	1.0	1.0	-0.28665024929591304	-0.34513945293142345
H19.33.004__1417642343__7_9	H19.33.004__1417642343__7_9	H19.33.004	CN	1417642343	1087.4598876953125	1482.691455078125	15	365.46666666666664		unknown	1.0	1.0	-2.815626083955754	-1.6849093434656226
H19.33.004__1417642343__7_17	H19.33.004__1417642343__7_17	H19.33.004	CN	1417642343	1140.812178178267	2622.016934481534	22	358.6363636363636		unknown	1.0	1.0	0.12357979912060214	-0.8368936777811012
H19.33.004__1417642343__6_9	H19.33.004__1417642343__6_9	H19.33.004	CN	1417642343	969.5942573547363	1468.1067810058594	32	395.21875		unknown	1.0	1.0	-2.297358883998854	-0.9947713063466624
H19.33.004__1417642343__13_27	H19.33.004__1417642343__13_27	H19.33.004	CN	1417642343	2042.9486799568965	4126.255379512392	29	254.0		unknown	1.0	1.0	-0.5321983754390227	1.1643867504796432
H19.33.004__1417642343__16_29	H19.33.004__1417642343__16_29	H19.33.004	CN	1417642343	2452.739740280878	4430.588053385417	42	320.0238095238095		unknown	1.0	1.0	0.7853505237202334	-0.345596000821347
