donor_id	region	section_id	n_cells_total	n_cells_retained	retained_fraction	median_n_transcripts	median_n_genes	zero_transcript_fraction	section_pass	section_root	cells_path	matrix_path
H19.33.004	CN	1417642334	31045	30163	0.9715896279594136	183.0	76.0	0.0015461426960863	True	data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\xenium_output_and_alignment\output-XETG00044__0031423__1417642334__20250319__192442	data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\xenium_output_and_alignment\output-XETG00044__0031423__1417642334__20250319__192442\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\xenium_output_and_alignment\output-XETG00044__0031423__1417642334__20250319__192442\cell_feature_matrix\matrix.mtx.gz
H19.33.004	CN	1417642340	35928	34348	0.956023157425963	169.0	74.0	0.0023380093520374	True	data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642340\xenium_output_and_alignment\output-XETG00210__0031868__1417642340__20250305__203943	data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642340\xenium_output_and_alignment\output-XETG00210__0031868__1417642340__20250305__203943\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642340\xenium_output_and_alignment\output-XETG00210__0031868__1417642340__20250305__203943\cell_feature_matrix\matrix.mtx.gz
H19.33.004	CN	1417642343	38765	37065	0.9561460079969044	164.0	72.0	0.0010576551012511	True	data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642343\xenium_output_and_alignment\output-XETG00210__0031868__1417642343__20250305__203943	data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642343\xenium_output_and_alignment\output-XETG00210__0031868__1417642343__20250305__203943\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642343\xenium_output_and_alignment\output-XETG00210__0031868__1417642343__20250305__203943\cell_feature_matrix\matrix.mtx.gz
H20.33.001	CN	1417642733	27184	26251	0.9656783402001176	208.0	81.0	0.006547969393761	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642733\xenium_output_and_alignment\output-XETG00214__0031396__1417642733__20250305__210859	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642733\xenium_output_and_alignment\output-XETG00214__0031396__1417642733__20250305__210859\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642733\xenium_output_and_alignment\output-XETG00214__0031396__1417642733__20250305__210859\cell_feature_matrix\matrix.mtx.gz
H20.33.001	CN	1417642736	30866	29990	0.9716192574353658	261.0	89.0	0.0054104840277327	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642736\xenium_output_and_alignment\output-XETG00214__0031396__1417642736__20250305__210859	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642736\xenium_output_and_alignment\output-XETG00214__0031396__1417642736__20250305__210859\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642736\xenium_output_and_alignment\output-XETG00214__0031396__1417642736__20250305__210859\cell_feature_matrix\matrix.mtx.gz
H20.33.001	CN	1417642739	27655	26951	0.9745434821912856	267.0	90.0	0.0030012655939251	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642739\xenium_output_and_alignment\output-XETG00214__0036929__1417642739__20250409__170035	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642739\xenium_output_and_alignment\output-XETG00214__0036929__1417642739__20250409__170035\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642739\xenium_output_and_alignment\output-XETG00214__0036929__1417642739__20250409__170035\cell_feature_matrix\matrix.mtx.gz
H20.33.001	CN	1417642742	26244	25537	0.9730605090687396	278.0	92.0	0.0042295381801554	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642742\xenium_output_and_alignment\output-XETG00214__0036929__1417642742__20250409__170035	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642742\xenium_output_and_alignment\output-XETG00214__0036929__1417642742__20250409__170035\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642742\xenium_output_and_alignment\output-XETG00214__0036929__1417642742__20250409__170035\cell_feature_matrix\matrix.mtx.gz
H20.33.012	CN	1417643096	57643	53603	0.9299134326804642	122.0	57.0	0.0019082976250368	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643096\xenium_output_and_alignment\output-XETG00044__0031871__1417643096__20250319__192442	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643096\xenium_output_and_alignment\output-XETG00044__0031871__1417643096__20250319__192442\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643096\xenium_output_and_alignment\output-XETG00044__0031871__1417643096__20250319__192442\cell_feature_matrix\matrix.mtx.gz
H20.33.012	CN	1417643099	62239	56914	0.9144427127685212	105.0	52.0	0.0015906425231767	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643099\xenium_output_and_alignment\output-XETG00044__0031871__1417643099__20250319__192442	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643099\xenium_output_and_alignment\output-XETG00044__0031871__1417643099__20250319__192442\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643099\xenium_output_and_alignment\output-XETG00044__0031871__1417643099__20250319__192442\cell_feature_matrix\matrix.mtx.gz
H20.33.012	CN	1417643108	76854	70990	0.9236994821349572	115.0	56.0	0.0023030681552033	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643108\xenium_output_and_alignment\output-XETG00210__0036828__1417643108__20250305__203943	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643108\xenium_output_and_alignment\output-XETG00210__0036828__1417643108__20250305__203943\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643108\xenium_output_and_alignment\output-XETG00210__0036828__1417643108__20250305__203943\cell_feature_matrix\matrix.mtx.gz
