path	donor_id	region	section_id	anomaly_type	anomaly_reason
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\points\transcripts\points.parquet\part.0.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\points\transcripts\points.parquet\part.1.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\points\transcripts\points.parquet\part.2.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\points\transcripts\points.parquet\part.3.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\points\transcripts\points.parquet\part.4.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\points\transcripts\points.parquet\part.5.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\points\transcripts\points.parquet\part.6.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\points\transcripts\points.parquet\part.7.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\shapes\cell_boundaries\shapes.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\shapes\cell_circles\shapes.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\combined_spatialdata_zarr\shapes\nucleus_boundaries\shapes.parquet	H19.33.004	CN	1417642334	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642340\combined_spatialdata_zarr\points\transcripts\points.parquet\part.0.parquet	H19.33.004	CN	1417642340	zarr_fragment_not_primary_input	SpatialData/Zarr fragments are present, but the robust primary loader uses Xenium cell_feature_matrix plus cells table.
