donor_id	feature	value
H20.33.026	n_edges__A9__snrna	0.0
H21.33.038	n_edges__A9__snrna	0.0
H20.33.026	n_edges__CN__spatial	35680.0
H21.33.038	n_edges__CN__spatial	23660.0
H20.33.026	n_edges__MTG__snrna	0.0
H21.33.038	n_edges__MTG__snrna	0.0
H20.33.026	n_features__A9__snrna	0.0
H21.33.038	n_features__A9__snrna	0.0
H20.33.026	n_features__CN__spatial	36.0
H21.33.038	n_features__CN__spatial	36.0
H20.33.026	n_features__MTG__snrna	0.0
H21.33.038	n_features__MTG__snrna	0.0
H20.33.026	n_nodes__A9__snrna	0.0
H21.33.038	n_nodes__A9__snrna	0.0
H20.33.026	n_nodes__CN__spatial	1784.0
H21.33.038	n_nodes__CN__spatial	1183.0
H20.33.026	n_nodes__MTG__snrna	0.0
H21.33.038	n_nodes__MTG__snrna	0.0
H20.33.026	celltype_fraction__A9__Neuronal: GABAergic	0.0
H21.33.038	celltype_fraction__A9__Neuronal: GABAergic	0.0
H20.33.026	celltype_fraction__A9__Neuronal: Glutamatergic	0.0
H21.33.038	celltype_fraction__A9__Neuronal: Glutamatergic	0.0
H20.33.026	celltype_fraction__A9__Non-neuronal and Non-neural	0.0
H21.33.038	celltype_fraction__A9__Non-neuronal and Non-neural	0.0
H20.33.026	celltype_fraction__MTG__Neuronal: GABAergic	0.29607250755287007
H21.33.038	celltype_fraction__MTG__Neuronal: GABAergic	0.283454647256439
H20.33.026	celltype_fraction__MTG__Neuronal: Glutamatergic	0.49924471299093653
H21.33.038	celltype_fraction__MTG__Neuronal: Glutamatergic	0.4941209406494961
H20.33.026	celltype_fraction__MTG__Non-neuronal and Non-neural	0.20468277945619334
H21.33.038	celltype_fraction__MTG__Non-neuronal and Non-neural	0.22242441209406494
H20.33.026	mapped_confidence_mean__CN	0.0
H21.33.038	mapped_confidence_mean__CN	0.0
H20.33.008	pca_hvg_1__A9	0.0
H20.33.026	pca_hvg_1__A9	0.0
H20.33.028	pca_hvg_1__A9	3.07573060354116e-08
H20.33.033	pca_hvg_1__A9	0.0
H20.33.035	pca_hvg_1__A9	0.0
