major_cell_class	fraction	donor_id	region
Non-neuronal and Non-neural	0.5025407031006948	H20.33.028	A9
Neuronal: Glutamatergic	0.3322617442704552	H20.33.028	A9
Neuronal: GABAergic	0.1651975526288499	H20.33.028	A9
Neuronal: Glutamatergic	0.4441980783444198	H20.33.036	A9
Non-neuronal and Non-neural	0.2988068841727378	H20.33.036	A9
Neuronal: GABAergic	0.2569950374828423	H20.33.036	A9
Neuronal: Glutamatergic	0.4817173861759849	H20.33.038	A9
Non-neuronal and Non-neural	0.371313989148384	H20.33.038	A9
Neuronal: GABAergic	0.146968624675631	H20.33.038	A9
Non-neuronal and Non-neural	0.4740462789243277	H21.33.020	A9
Neuronal: Glutamatergic	0.390556597873671	H21.33.020	A9
Neuronal: GABAergic	0.1353971232020012	H21.33.020	A9
Non-neuronal and Non-neural	0.4673845516670118	H21.33.034	A9
Neuronal: GABAergic	0.2692068751294263	H21.33.034	A9
Neuronal: Glutamatergic	0.2634085732035618	H21.33.034	A9
Neuronal: Glutamatergic	0.4672122547476655	H21.33.044	A9
Neuronal: GABAergic	0.3333333333333333	H21.33.044	A9
Non-neuronal and Non-neural	0.1994544119190011	H21.33.044	A9
Neuronal: GABAergic	0.4653083700440528	H21.33.045	A9
Neuronal: Glutamatergic	0.3766519823788546	H21.33.045	A9
Non-neuronal and Non-neural	0.1580396475770925	H21.33.045	A9
Neuronal: Glutamatergic	0.7398565674427744	H20.33.008	MTG
Neuronal: GABAergic	0.1419589350623833	H20.33.008	MTG
Non-neuronal and Non-neural	0.1181844974948423	H20.33.008	MTG
Neuronal: Glutamatergic	0.4992447129909365	H20.33.026	MTG
Neuronal: GABAergic	0.29607250755287	H20.33.026	MTG
Non-neuronal and Non-neural	0.2046827794561933	H20.33.026	MTG
Neuronal: Glutamatergic	0.4482950746601292	H20.33.028	MTG
Non-neuronal and Non-neural	0.417985290840205	H20.33.028	MTG
Neuronal: GABAergic	0.1337196344996657	H20.33.028	MTG
Neuronal: Glutamatergic	0.4907843137254902	H20.33.033	MTG
Neuronal: GABAergic	0.3456862745098039	H20.33.033	MTG
Non-neuronal and Non-neural	0.1635294117647059	H20.33.033	MTG
Neuronal: Glutamatergic	0.5532712540815092	H20.33.035	MTG
Neuronal: GABAergic	0.2508163018502842	H20.33.035	MTG
Non-neuronal and Non-neural	0.1959124440682065	H20.33.035	MTG
Neuronal: Glutamatergic	0.5760079312623926	H20.33.036	MTG
Neuronal: GABAergic	0.2220753469927296	H20.33.036	MTG
Non-neuronal and Non-neural	0.2019167217448777	H20.33.036	MTG
Neuronal: Glutamatergic	0.5643300798580302	H20.33.037	MTG
Neuronal: GABAergic	0.2317657497781721	H20.33.037	MTG
