donor_id	region	cells_retained
H20.33.008	MTG	10179
H20.33.026	MTG	6620
H20.33.028	A9	9643
H20.33.028	MTG	8974
H20.33.033	MTG	5100
H20.33.035	MTG	8269
H20.33.036	A9	9471
H20.33.036	MTG	6052
H20.33.037	MTG	5635
H20.33.038	A9	8478
H20.33.038	MTG	3277
H20.33.045	MTG	7975
H200.1023	MTG	6314
H21.33.009	MTG	11611
H21.33.017	MTG	8152
H21.33.020	A9	3198
H21.33.020	MTG	1789
H21.33.026	MTG	10624
H21.33.029	MTG	8555
H21.33.033	MTG	6311
H21.33.034	A9	4829
H21.33.034	MTG	3350
H21.33.037	MTG	7995
H21.33.038	MTG	7144
H21.33.039	MTG	8821
H21.33.044	A9	9531
H21.33.044	MTG	6117
H21.33.045	A9	9080
H21.33.045	MTG	6682
H21.33.046	MTG	5565
