node_id	patch_id	donor_id	region	section_id	x	y	n_cells	mean_n_transcripts	mapped_confidence_mean	dominant_mapped_cell_type	dominant_mapped_cell_type_fraction	celltype_fraction__unknown
H19.33.004__1417642343__5_9	H19.33.004__1417642343__5_9	H19.33.004	CN	1417642343	822.5851361674647	1475.5959354523688	31	506.80645161290323		unknown	1.0	1.0
H19.33.004__1417642343__5_13	H19.33.004__1417642343__5_13	H19.33.004	CN	1417642343	880.7187848772321	2044.2845284598213	7	225.42857142857142		unknown	1.0	1.0
H19.33.004__1417642343__8_14	H19.33.004__1417642343__8_14	H19.33.004	CN	1417642343	1273.772177956321	2187.886863014915	22	258.8181818181818		unknown	1.0	1.0
H19.33.004__1417642343__8_11	H19.33.004__1417642343__8_11	H19.33.004	CN	1417642343	1275.5375104631696	1733.9260428292412	14	339.7857142857143		unknown	1.0	1.0
H19.33.004__1417642343__8_13	H19.33.004__1417642343__8_13	H19.33.004	CN	1417642343	1270.2064086914063	2023.3320922851562	20	381.5		unknown	1.0	1.0
H19.33.004__1417642343__7_9	H19.33.004__1417642343__7_9	H19.33.004	CN	1417642343	1087.4598876953125	1482.691455078125	15	365.46666666666664		unknown	1.0	1.0
H19.33.004__1417642343__7_17	H19.33.004__1417642343__7_17	H19.33.004	CN	1417642343	1140.812178178267	2622.016934481534	22	358.6363636363636		unknown	1.0	1.0
H19.33.004__1417642343__6_9	H19.33.004__1417642343__6_9	H19.33.004	CN	1417642343	969.5942573547363	1468.1067810058594	32	395.21875		unknown	1.0	1.0
H19.33.004__1417642343__13_27	H19.33.004__1417642343__13_27	H19.33.004	CN	1417642343	2042.9486799568965	4126.255379512392	29	254.0		unknown	1.0	1.0
H19.33.004__1417642343__16_29	H19.33.004__1417642343__16_29	H19.33.004	CN	1417642343	2452.739740280878	4430.588053385417	42	320.0238095238095		unknown	1.0	1.0
H19.33.004__1417642343__15_29	H19.33.004__1417642343__15_29	H19.33.004	CN	1417642343	2312.484628018466	4415.374920099432	55	380.1272727272727		unknown	1.0	1.0
H19.33.004__1417642343__16_26	H19.33.004__1417642343__16_26	H19.33.004	CN	1417642343	2477.9481515066964	3985.8402134486605	35	309.6		unknown	1.0	1.0
H19.33.004__1417642343__18_26	H19.33.004__1417642343__18_26	H19.33.004	CN	1417642343	2768.1268669577207	3984.627103917739	34	411.55882352941177		unknown	1.0	1.0
H19.33.004__1417642343__17_25	H19.33.004__1417642343__17_25	H19.33.004	CN	1417642343	2627.328270164696	3825.53649572424	37	347.6756756756757		unknown	1.0	1.0
H19.33.004__1417642343__17_7	H19.33.004__1417642343__17_7	H19.33.004	CN	1417642343	2632.167301661532	1116.3598942286533	71	487.85915492957747		unknown	1.0	1.0
H19.33.004__1417642343__17_10	H19.33.004__1417642343__17_10	H19.33.004	CN	1417642343	2586.6211853027344	1594.806869506836	8	296.625		unknown	1.0	1.0
H19.33.004__1417642343__13_8	H19.33.004__1417642343__13_8	H19.33.004	CN	1417642343	2026.326707458496	1265.1432723999023	80	485.925		unknown	1.0	1.0
H19.33.004__1417642343__15_7	H19.33.004__1417642343__15_7	H19.33.004	CN	1417642343	2337.8060008081898	1182.3971241918102	29	533.3448275862069		unknown	1.0	1.0
H19.33.004__1417642343__14_12	H19.33.004__1417642343__14_12	H19.33.004	CN	1417642343	2166.038195379849	1877.0353877626617	29	289.0689655172414		unknown	1.0	1.0
H19.33.004__1417642343__14_8	H19.33.004__1417642343__14_8	H19.33.004	CN	1417642343	2176.6523758737662	1243.3467085988898	38	472.7105263157895		unknown	1.0	1.0
H19.33.004__1417642343__12_8	H19.33.004__1417642343__12_8	H19.33.004	CN	1417642343	1879.0828373015872	1286.3658699156747	63	479.3333333333333		unknown	1.0	1.0
H19.33.004__1417642343__9_14	H19.33.004__1417642343__9_14	H19.33.004	CN	1417642343	1431.075948079427	2178.0939371744794	30	278.76666666666665		unknown	1.0	1.0
H19.33.004__1417642343__10_21	H19.33.004__1417642343__10_21	H19.33.004	CN	1417642343	1573.3618948800224	3234.287344796317	28	331.0357142857143		unknown	1.0	1.0
H19.33.004__1417642343__9_19	H19.33.004__1417642343__9_19	H19.33.004	CN	1417642343	1410.9819859095983	2945.88192313058	28	304.17857142857144		unknown	1.0	1.0
H19.33.004__1417642343__11_15	H19.33.004__1417642343__11_15	H19.33.004	CN	1417642343	1707.216447501347	2346.2786823141164	29	333.48275862068965		unknown	1.0	1.0
H19.33.004__1417642343__16_21	H19.33.004__1417642343__16_21	H19.33.004	CN	1417642343	2469.967072315705	3218.439672225561	39	385.02564102564105		unknown	1.0	1.0
H19.33.004__1417642343__13_20	H19.33.004__1417642343__13_20	H19.33.004	CN	1417642343	2025.973482019761	3069.461052389706	34	393.61764705882354		unknown	1.0	1.0
H19.33.004__1417642343__13_18	H19.33.004__1417642343__13_18	H19.33.004	CN	1417642343	2050.871481190557	2759.9355256453805	23	210.30434782608697		unknown	1.0	1.0
H19.33.004__1417642343__12_14	H19.33.004__1417642343__12_14	H19.33.004	CN	1417642343	1888.2172888553505	2181.961174242424	33	297.3939393939394		unknown	1.0	1.0
H19.33.004__1417642343__10_8	H19.33.004__1417642343__10_8	H19.33.004	CN	1417642343	1579.0675109863282	1316.1804138183593	20	477.3		unknown	1.0	1.0
H19.33.004__1417642343__11_8	H19.33.004__1417642343__11_8	H19.33.004	CN	1417642343	1730.106698843149	1309.5794959435095	39	444.28205128205127		unknown	1.0	1.0
H19.33.004__1417642343__29_6	H19.33.004__1417642343__29_6	H19.33.004	CN	1417642343	4421.101143973215	991.6674891880581	14	288.57142857142856		unknown	1.0	1.0
H19.33.004__1417642343__32_10	H19.33.004__1417642343__32_10	H19.33.004	CN	1417642343	4888.159398572198	1578.1973119275324	29	303.8965517241379		unknown	1.0	1.0
H19.33.004__1417642343__26_8	H19.33.004__1417642343__26_8	H19.33.004	CN	1417642343	3989.083026592548	1252.7603947566106	13	366.53846153846155		unknown	1.0	1.0
H19.33.004__1417642343__33_25	H19.33.004__1417642343__33_25	H19.33.004	CN	1417642343	5018.358561197917	3829.966944839015	33	258.06060606060606		unknown	1.0	1.0
H19.33.004__1417642343__31_32	H19.33.004__1417642343__31_32	H19.33.004	CN	1417642343	4736.378203125	4883.12107421875	25	181.56		unknown	1.0	1.0
H19.33.004__1417642343__39_26	H19.33.004__1417642343__39_26	H19.33.004	CN	1417642343	5927.518145893895	3982.480582303779	43	261.0		unknown	1.0	1.0
H19.33.004__1417642343__31_26	H19.33.004__1417642343__31_26	H19.33.004	CN	1417642343	4735.185265743371	3971.370368726326	33	260.1818181818182		unknown	1.0	1.0
H19.33.004__1417642343__32_20	H19.33.004__1417642343__32_20	H19.33.004	CN	1417642343	4869.228722205529	3066.3768592247598	26	163.3846153846154		unknown	1.0	1.0
H19.33.004__1417642343__36_21	H19.33.004__1417642343__36_21	H19.33.004	CN	1417642343	5478.621763392857	3208.911781529018	35	368.65714285714284		unknown	1.0	1.0
H19.33.004__1417642343__35_22	H19.33.004__1417642343__35_22	H19.33.004	CN	1417642343	5328.347278941761	3366.933582652699	44	307.84090909090907		unknown	1.0	1.0
H19.33.004__1417642343__33_21	H19.33.004__1417642343__33_21	H19.33.004	CN	1417642343	5029.8615080180925	3249.6570081208883	19	264.7894736842105		unknown	1.0	1.0
H19.33.004__1417642343__30_34	H19.33.004__1417642343__30_34	H19.33.004	CN	1417642343	4572.102827023237	5161.216158353365	39	213.3846153846154		unknown	1.0	1.0
H19.33.004__1417642343__31_19	H19.33.004__1417642343__31_19	H19.33.004	CN	1417642343	4745.782798549107	2906.9979840959822	35	208.31428571428572		unknown	1.0	1.0
H19.33.004__1417642343__31_16	H19.33.004__1417642343__31_16	H19.33.004	CN	1417642343	4732.7330322265625	2490.4554443359375	24	489.875		unknown	1.0	1.0
H19.33.004__1417642343__29_22	H19.33.004__1417642343__29_22	H19.33.004	CN	1417642343	4418.537265625	3370.977314453125	25	454.0		unknown	1.0	1.0
H19.33.004__1417642343__30_19	H19.33.004__1417642343__30_19	H19.33.004	CN	1417642343	4588.321657576651	2937.4756320017686	53	263.2830188679245		unknown	1.0	1.0
H19.33.004__1417642343__44_14	H19.33.004__1417642343__44_14	H19.33.004	CN	1417642343	6679.257954259073	2173.365769909274	31	294.35483870967744		unknown	1.0	1.0
H19.33.004__1417642343__46_18	H19.33.004__1417642343__46_18	H19.33.004	CN	1417642343	6964.135474420363	2782.5059775075606	31	437.51612903225805		unknown	1.0	1.0
H19.33.004__1417642343__44_13	H19.33.004__1417642343__44_13	H19.33.004	CN	1417642343	6678.737038352273	2024.2947480172822	33	283.3030303030303		unknown	1.0	1.0
H19.33.004__1417642343__46_14	H19.33.004__1417642343__46_14	H19.33.004	CN	1417642343	6991.211344401042	2183.8334350585938	12	714.5		unknown	1.0	1.0
H19.33.004__1417642343__49_17	H19.33.004__1417642343__49_17	H19.33.004	CN	1417642343	7433.721206202652	2629.010993726326	33	433.24242424242425		unknown	1.0	1.0
H19.33.004__1417642343__47_17	H19.33.004__1417642343__47_17	H19.33.004	CN	1417642343	7115.05974469866	2637.1649169921875	14	709.8571428571429		unknown	1.0	1.0
H19.33.004__1417642343__47_18	H19.33.004__1417642343__47_18	H19.33.004	CN	1417642343	7127.995134024784	2790.7117625269398	29	290.2758620689655		unknown	1.0	1.0
H19.33.004__1417642343__48_17	H19.33.004__1417642343__48_17	H19.33.004	CN	1417642343	7260.7753342848555	2623.243464543269	26	448.11538461538464		unknown	1.0	1.0
H19.33.004__1417642343__48_16	H19.33.004__1417642343__48_16	H19.33.004	CN	1417642343	7279.71037109375	2479.885556640625	25	324.56		unknown	1.0	1.0
H19.33.004__1417642343__47_15	H19.33.004__1417642343__47_15	H19.33.004	CN	1417642343	7139.322199041193	2331.253972833807	22	464.40909090909093		unknown	1.0	1.0
H19.33.004__1417642343__36_22	H19.33.004__1417642343__36_22	H19.33.004	CN	1417642343	5486.282331194197	3370.12930733817	28	233.89285714285714		unknown	1.0	1.0
H19.33.004__1417642343__42_23	H19.33.004__1417642343__42_23	H19.33.004	CN	1417642343	6373.688992745536	3530.060616629464	35	245.71428571428572		unknown	1.0	1.0
H19.33.004__1417642343__43_20	H19.33.004__1417642343__43_20	H19.33.004	CN	1417642343	6516.173661081414	3068.769627621299	38	285.0263157894737		unknown	1.0	1.0
H19.33.004__1417642343__40_19	H19.33.004__1417642343__40_19	H19.33.004	CN	1417642343	6071.790069580078	2927.5916595458984	32	264.8125		unknown	1.0	1.0
H19.33.004__1417642343__47_21	H19.33.004__1417642343__47_21	H19.33.004	CN	1417642343	7113.099186197916	3240.9520263671875	30	436.9		unknown	1.0	1.0
H19.33.004__1417642343__46_24	H19.33.004__1417642343__46_24	H19.33.004	CN	1417642343	6920.547814002404	3680.310114933894	13	486.3076923076923		unknown	1.0	1.0
H19.33.004__1417642343__47_20	H19.33.004__1417642343__47_20	H19.33.004	CN	1417642343	7135.259521484375	3075.3327433268228	24	369.5		unknown	1.0	1.0
H19.33.004__1417642343__38_14	H19.33.004__1417642343__38_14	H19.33.004	CN	1417642343	5797.210390625	2191.362138671875	25	213.52		unknown	1.0	1.0
H19.33.004__1417642343__38_19	H19.33.004__1417642343__38_19	H19.33.004	CN	1417642343	5784.94427333734	2917.8157552083335	39	223.05128205128204		unknown	1.0	1.0
H19.33.004__1417642343__44_16	H19.33.004__1417642343__44_16	H19.33.004	CN	1417642343	6667.253403607537	2489.4952751608457	34	396.7352941176471		unknown	1.0	1.0
H19.33.004__1417642343__43_28	H19.33.004__1417642343__43_28	H19.33.004	CN	1417642343	6466.72607421875	4224.721261160715	7	169.85714285714286		unknown	1.0	1.0
H19.33.004__1417642343__44_24	H19.33.004__1417642343__44_24	H19.33.004	CN	1417642343	6684.479064941406	3660.843017578125	32	226.84375		unknown	1.0	1.0
H19.33.004__1417642343__39_10	H19.33.004__1417642343__39_10	H19.33.004	CN	1417642343	5903.963534268466	1558.4140791459517	22	333.45454545454544		unknown	1.0	1.0
H19.33.004__1417642343__43_12	H19.33.004__1417642343__43_12	H19.33.004	CN	1417642343	6517.156569260817	1868.976590670072	26	359.1923076923077		unknown	1.0	1.0
H19.33.004__1417642343__38_11	H19.33.004__1417642343__38_11	H19.33.004	CN	1417642343	5758.731817948191	1725.2699681332238	38	337.6578947368421		unknown	1.0	1.0
H19.33.004__1417642343__38_6	H19.33.004__1417642343__38_6	H19.33.004	CN	1417642343	5786.5131603422615	967.0656447637649	21	215.38095238095238		unknown	1.0	1.0
H19.33.004__1417642343__41_8	H19.33.004__1417642343__41_8	H19.33.004	CN	1417642343	6223.418243408203	1276.7854537963867	16	298.0		unknown	1.0	1.0
H19.33.004__1417642343__38_7	H19.33.004__1417642343__38_7	H19.33.004	CN	1417642343	5776.683056640625	1110.7302856445312	20	244.55		unknown	1.0	1.0
H19.33.004__1417642343__36_6	H19.33.004__1417642343__36_6	H19.33.004	CN	1417642343	5499.103352864583	973.1242472330729	27	276.48148148148147		unknown	1.0	1.0
H19.33.004__1417642343__19_6	H19.33.004__1417642343__19_6	H19.33.004	CN	1417642343	2934.991795590049	1024.2579988178454	38	528.3947368421053		unknown	1.0	1.0
H19.33.004__1417642343__18_7	H19.33.004__1417642343__18_7	H19.33.004	CN	1417642343	2769.1061678799715	1089.0695356889205	66	448.27272727272725		unknown	1.0	1.0
H19.33.004__1417642343__22_23	H19.33.004__1417642343__22_23	H19.33.004	CN	1417642343	3370.9461216517857	3517.8091866629466	35	328.9714285714286		unknown	1.0	1.0
H19.33.004__1417642343__23_26	H19.33.004__1417642343__23_26	H19.33.004	CN	1417642343	3512.4548110961914	3989.193572998047	32	243.84375		unknown	1.0	1.0
H19.33.004__1417642343__22_35	H19.33.004__1417642343__22_35	H19.33.004	CN	1417642343	3417.9644639756943	5345.098524305556	9	94.55555555555556		unknown	1.0	1.0
H19.33.004__1417642343__22_39	H19.33.004__1417642343__22_39	H19.33.004	CN	1417642343	3381.220810398911	5894.371004971591	66	145.86363636363637		unknown	1.0	1.0
H19.33.004__1417642343__18_15	H19.33.004__1417642343__18_15	H19.33.004	CN	1417642343	2761.8092215401784	2330.8855096726193	21	500.23809523809524		unknown	1.0	1.0
H19.33.004__1417642343__19_36	H19.33.004__1417642343__19_36	H19.33.004	CN	1417642343	2934.4206071820176	5479.124965734649	57	316.5964912280702		unknown	1.0	1.0
H19.33.004__1417642343__19_18	H19.33.004__1417642343__19_18	H19.33.004	CN	1417642343	2930.87568478468	2769.90009884718	41	374.3658536585366		unknown	1.0	1.0
H19.33.004__1417642343__21_13	H19.33.004__1417642343__21_13	H19.33.004	CN	1417642343	3206.6383428158965	2034.852884043818	23	471.39130434782606		unknown	1.0	1.0
H19.33.004__1417642343__20_30	H19.33.004__1417642343__20_30	H19.33.004	CN	1417642343	3068.2775300678454	4568.9600637335525	38	295.07894736842104		unknown	1.0	1.0
H19.33.004__1417642343__20_16	H19.33.004__1417642343__20_16	H19.33.004	CN	1417642343	3083.078740234375	2468.685537109375	25	421.76		unknown	1.0	1.0
H19.33.004__1417642343__26_11	H19.33.004__1417642343__26_11	H19.33.004	CN	1417642343	4009.1884969075522	1720.452392578125	24	282.375		unknown	1.0	1.0
H19.33.004__1417642343__24_15	H19.33.004__1417642343__24_15	H19.33.004	CN	1417642343	3682.6868990384614	2337.462702824519	26	494.4230769230769		unknown	1.0	1.0
H19.33.004__1417642343__24_13	H19.33.004__1417642343__24_13	H19.33.004	CN	1417642343	3648.7633347284227	2031.4995059058779	21	393.3809523809524		unknown	1.0	1.0
H19.33.004__1417642343__23_27	H19.33.004__1417642343__23_27	H19.33.004	CN	1417642343	3534.4331868489585	4144.764133029514	18	400.44444444444446		unknown	1.0	1.0
