2026-03-27 19:23:44,214 | INFO | 06_spatial_qc | Spatial section load start | donor=H19.33.004 | region=CN | section=1417642334 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642334\xenium_output_and_alignment\output-XETG00044__0031423__1417642334__20250319__192442
2026-03-27 19:23:47,498 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H19.33.004 | region=CN | section=1417642334 | retained=30163/31045
2026-03-27 19:23:47,499 | INFO | 06_spatial_qc | Spatial section load start | donor=H19.33.004 | region=CN | section=1417642340 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642340\xenium_output_and_alignment\output-XETG00210__0031868__1417642340__20250305__203943
2026-03-27 19:23:51,019 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H19.33.004 | region=CN | section=1417642340 | retained=34348/35928
2026-03-27 19:23:51,020 | INFO | 06_spatial_qc | Spatial section load start | donor=H19.33.004 | region=CN | section=1417642343 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H19.33.004\1417642343\xenium_output_and_alignment\output-XETG00210__0031868__1417642343__20250305__203943
2026-03-27 19:23:54,373 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H19.33.004 | region=CN | section=1417642343 | retained=37065/38765
2026-03-27 19:23:54,374 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.001 | region=CN | section=1417642733 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642733\xenium_output_and_alignment\output-XETG00214__0031396__1417642733__20250305__210859
2026-03-27 19:23:57,004 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.001 | region=CN | section=1417642733 | retained=26251/27184
2026-03-27 19:23:57,004 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.001 | region=CN | section=1417642736 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642736\xenium_output_and_alignment\output-XETG00214__0031396__1417642736__20250305__210859
2026-03-27 19:23:59,984 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.001 | region=CN | section=1417642736 | retained=29990/30866
2026-03-27 19:23:59,985 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.001 | region=CN | section=1417642739 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642739\xenium_output_and_alignment\output-XETG00214__0036929__1417642739__20250409__170035
2026-03-27 19:24:02,691 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.001 | region=CN | section=1417642739 | retained=26951/27655
2026-03-27 19:24:02,692 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.001 | region=CN | section=1417642742 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.001\1417642742\xenium_output_and_alignment\output-XETG00214__0036929__1417642742__20250409__170035
2026-03-27 19:24:05,473 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.001 | region=CN | section=1417642742 | retained=25537/26244
2026-03-27 19:24:05,473 | INFO | 06_spatial_qc | Spatial section load start | donor=H20.33.012 | region=CN | section=1417643096 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.012\1417643096\xenium_output_and_alignment\output-XETG00044__0031871__1417643096__20250319__192442
2026-03-27 19:24:10,741 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H20.33.012 | region=CN | section=1417643096 | retained=53603/57643
