2026-03-27 19:26:20,956 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H19.33.004 | region=CN | section=1417642334 | file=seaad_spatial_CN_1417642334_qc_v1.h5ad
2026-03-27 19:26:21,294 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H19.33.004 | region=CN | section=1417642340 | file=seaad_spatial_CN_1417642340_qc_v1.h5ad
2026-03-27 19:26:21,626 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H19.33.004 | region=CN | section=1417642343 | file=seaad_spatial_CN_1417642343_qc_v1.h5ad
2026-03-27 19:26:21,937 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.001 | region=CN | section=1417642733 | file=seaad_spatial_CN_1417642733_qc_v1.h5ad
2026-03-27 19:26:22,343 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.001 | region=CN | section=1417642736 | file=seaad_spatial_CN_1417642736_qc_v1.h5ad
2026-03-27 19:26:22,764 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.001 | region=CN | section=1417642739 | file=seaad_spatial_CN_1417642739_qc_v1.h5ad
2026-03-27 19:26:23,061 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.001 | region=CN | section=1417642742 | file=seaad_spatial_CN_1417642742_qc_v1.h5ad
2026-03-27 19:26:23,515 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.012 | region=CN | section=1417643096 | file=seaad_spatial_CN_1417643096_qc_v1.h5ad
2026-03-27 19:26:23,974 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.012 | region=CN | section=1417643099 | file=seaad_spatial_CN_1417643099_qc_v1.h5ad
2026-03-27 19:26:24,526 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.012 | region=CN | section=1417643108 | file=seaad_spatial_CN_1417643108_qc_v1.h5ad
2026-03-27 19:26:25,132 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.012 | region=CN | section=1417643111 | file=seaad_spatial_CN_1417643111_qc_v1.h5ad
2026-03-27 19:26:25,515 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.017 | region=CN | section=1417643356 | file=seaad_spatial_CN_1417643356_qc_v1.h5ad
2026-03-27 19:26:25,910 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.017 | region=CN | section=1417643359 | file=seaad_spatial_CN_1417643359_qc_v1.h5ad
2026-03-27 19:26:26,410 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.017 | region=CN | section=1417643362 | file=seaad_spatial_CN_1417643362_qc_v1.h5ad
2026-03-27 19:26:26,722 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.017 | region=CN | section=1417643365 | file=seaad_spatial_CN_1417643365_qc_v1.h5ad
2026-03-27 19:26:27,171 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.026 | region=CN | section=1417643939 | file=seaad_spatial_CN_1417643939_qc_v1.h5ad
2026-03-27 19:26:27,615 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.026 | region=CN | section=1417643942 | file=seaad_spatial_CN_1417643942_qc_v1.h5ad
2026-03-27 19:26:28,330 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.026 | region=CN | section=1417643951 | file=seaad_spatial_CN_1417643951_qc_v1.h5ad
2026-03-27 19:26:28,899 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.026 | region=CN | section=1417643954 | file=seaad_spatial_CN_1417643954_qc_v1.h5ad
2026-03-27 19:26:29,228 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.031 | region=CN | section=1417644664 | file=seaad_spatial_CN_1417644664_qc_v1.h5ad
2026-03-27 19:26:29,572 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.031 | region=CN | section=1417644667 | file=seaad_spatial_CN_1417644667_qc_v1.h5ad
2026-03-27 19:26:29,884 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.031 | region=CN | section=1417644670 | file=seaad_spatial_CN_1417644670_qc_v1.h5ad
2026-03-27 19:26:30,244 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H20.33.031 | region=CN | section=1417644673 | file=seaad_spatial_CN_1417644673_qc_v1.h5ad
2026-03-27 19:26:30,745 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.002 | region=CN | section=1417648780 | file=seaad_spatial_CN_1417648780_qc_v1.h5ad
2026-03-27 19:26:31,317 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.002 | region=CN | section=1417648783 | file=seaad_spatial_CN_1417648783_qc_v1.h5ad
2026-03-27 19:26:31,862 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.002 | region=CN | section=1417648792 | file=seaad_spatial_CN_1417648792_qc_v1.h5ad
2026-03-27 19:26:32,380 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.002 | region=CN | section=1417648795 | file=seaad_spatial_CN_1417648795_qc_v1.h5ad
2026-03-27 19:26:32,786 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.004 | region=CN | section=1417649139 | file=seaad_spatial_CN_1417649139_qc_v1.h5ad
2026-03-27 19:26:33,282 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.004 | region=CN | section=1417649142 | file=seaad_spatial_CN_1417649142_qc_v1.h5ad
2026-03-27 19:26:33,982 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.027 | region=CN | section=1417649441 | file=seaad_spatial_CN_1417649441_qc_v1.h5ad
2026-03-27 19:26:34,606 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.027 | region=CN | section=1417649444 | file=seaad_spatial_CN_1417649444_qc_v1.h5ad
2026-03-27 19:26:35,101 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.027 | region=CN | section=1417649447 | file=seaad_spatial_CN_1417649447_qc_v1.h5ad
2026-03-27 19:26:35,431 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.027 | region=CN | section=1417649450 | file=seaad_spatial_CN_1417649450_qc_v1.h5ad
2026-03-27 19:26:35,676 | INFO | 07_spatial_map_to_snrna | Spatial mapping start | donor=H21.33.038 | region=CN | section=1417649873 | file=seaad_spatial_CN_1417649873_qc_v1.h5ad
